出表日期,報告年度,公司代號,公司名稱,公司年度召開法說會次數(次)
1111005,110,2890,永豐金,8
1111005,110,2891,中信金,4
1111005,110,2892,第一金,4
1111005,110,2897,王道銀行,3
1111005,110,2901,欣欣,1
1111005,110,2903,遠百,1
1111005,110,2904,匯僑,1
1111005,110,2905,三商,1
1111005,110,2906,高林,1
1111005,110,2908,特力,1
1111005,110,2910,統領,1
1111005,110,2911,麗嬰房,1
1111005,110,2912,統一超,4
1111005,110,2913,農林,1
1111005,110,2915,潤泰全,1
1111005,110,2923,鼎固-KY,1
1111005,110,2929,淘帝-KY,1
1111005,110,2939,凱羿-KY,1
1111005,110,2945,三商家購,1
1111005,110,3002,歐格,1
1111005,110,3003,健和興,1
1111005,110,3004,豐達科,1
1111005,110,3005,神基,5
1111005,110,3006,晶豪科,2
1111005,110,3008,大立光,4
1111005,110,3010,華立,2
1111005,110,3011,今皓,1
1111005,110,3013,晟銘電,1
1111005,110,3014,聯陽,2
1111005,110,3015,全漢,2
1111005,110,3016,嘉晶,1
1111005,110,3017,奇鋐,2
1111005,110,3018,同開,1
1111005,110,3019,亞光,1
1111005,110,3021,鴻名,2
1111005,110,3022,威強電,1
1111005,110,3023,信邦,1
1111005,110,3024,憶聲,1
1111005,110,3025,星通,1
1111005,110,3026,禾伸堂,4
1111005,110,3027,盛達,1
1111005,110,3028,增你強,1
1111005,110,3029,零壹,2
1111005,110,3030,德律,2
1111005,110,3031,佰鴻,1
1111005,110,3032,偉訓,1
1111005,110,3033,威健,1
1111005,110,3034,聯詠,4
1111005,110,3035,智原,4
1111005,110,3036,文曄,20
1111005,110,3037,欣興,9
1111005,110,3038,全台,1
1111005,110,3040,遠見,1
1111005,110,3041,揚智,3
1111005,110,3042,晶技,4
1111005,110,3043,科風,1
1111005,110,3044,健鼎,4
1111005,110,3045,台灣大,11
1111005,110,3046,建碁,1
1111005,110,3047,訊舟,1
1111005,110,3048,益登,1
1111005,110,3049,和鑫,1
1111005,110,3050,鈺德,1
1111005,110,3051,力特,1
1111005,110,3052,夆典,1
1111005,110,3054,立萬利,1
1111005,110,3055,蔚華科,1
1111005,110,3056,總太,1
1111005,110,3057,喬鼎,1
1111005,110,3058,立德,1
1111005,110,3059,華晶科,1
1111005,110,3060,銘異,1
1111005,110,3062,建漢,1
1111005,110,3090,日電貿,2
1111005,110,3092,鴻碩,2
1111005,110,3094,聯傑,1
1111005,110,3130,一零四,2
1111005,110,3138,耀登,1
1111005,110,3149,正達,1
1111005,110,3164,景岳,2
1111005,110,3167,大量,2
1111005,110,3189,景碩,27
1111005,110,3209,全科,2
1111005,110,3229,晟鈦,1
1111005,110,3231,緯創,9
1111005,110,3257,虹冠電,1
1111005,110,3266,昇陽,1
1111005,110,3296,勝德,1
1111005,110,3305,昇貿,1
1111005,110,3308,聯德,1
1111005,110,3311,閎暉,1
1111005,110,3312,弘憶股,4
1111005,110,3321,同泰,1
1111005,110,3338,泰碩,1
1111005,110,3346,麗清,3
1111005,110,3356,奇偶,1
1111005,110,3376,新日興,12
1111005,110,3380,明泰,2
1111005,110,3406,玉晶光,1
1111005,110,3413,京鼎,5
1111005,110,3416,融程電,5
1111005,110,3419,譁裕,1
1111005,110,3432,台端,1
1111005,110,3437,榮創,1
1111005,110,3443,創意,19
1111005,110,3450,聯鈞,1
1111005,110,3454,晶睿,2
1111005,110,3481,群創,2
1111005,110,3494,誠研,1
1111005,110,3501,維熹,1
1111005,110,3504,揚明光,2
1111005,110,3515,華擎,4
1111005,110,3518,柏騰,1
1111005,110,3528,安馳,1
1111005,110,3530,晶相光,2
1111005,110,3532,台勝科,2
1111005,110,3533,嘉澤,5
1111005,110,3535,晶彩科,1
1111005,110,3536,誠創,1
1111005,110,3543,州巧,1
1111005,110,3545,敦泰,4
1111005,110,3550,聯穎,1
1111005,110,3557,嘉威,1
1111005,110,3563,牧德,3
1111005,110,3576,聯合再生,3
1111005,110,3583,辛耘,3
1111005,110,3588,通嘉,1
1111005,110,3591,艾笛森,4
1111005,110,3592,瑞鼎,1
1111005,110,3593,力銘,1
1111005,110,3596,智易,2
1111005,110,3605,宏致,1
1111005,110,3607,谷崧,1
1111005,110,3617,碩天,1
1111005,110,3622,洋華,1
1111005,110,3645,達邁,1
1111005,110,3652,精聯,0
1111005,110,3653,健策,1
1111005,110,3661,世芯-KY,5
1111005,110,3665,貿聯-KY,23
1111005,110,3669,圓展,2
1111005,110,3673,TPK-KY,4
1111005,110,3679,新至陞,1
1111005,110,3682,亞太電,1
1111005,110,3686,達能,1
1111005,110,3694,海華,1
1111005,110,3701,大眾控,3
1111005,110,3702,大聯大,9
1111005,110,3703,欣陸,8
1111005,110,3704,合勤控,2
1111005,110,3705,永信,2
1111005,110,3706,神達,2
1111005,110,3708,上緯投控,2
1111005,110,3711,日月光投控,8
1111005,110,3712,永崴投控,1
1111005,110,3714,富采,4
1111005,110,4104,佳醫,1
1111005,110,4106,雃博,2
1111005,110,4108,懷特,1
1111005,110,4119,旭富,1
1111005,110,4133,亞諾法,1
1111005,110,4137,麗豐-KY,6
1111005,110,4142,國光生,5
1111005,110,4148,全宇生技-KY,1
1111005,110,4155,訊映,1
1111005,110,4164,承業醫,2
1111005,110,4190,佐登-KY,1
1111005,110,4306,炎洲,1
1111005,110,4414,如興,1
1111005,110,4426,利勤,1
1111005,110,4438,廣越,3
1111005,110,4439,冠星-KY,2
1111005,110,4440,宜新實業,2
1111005,110,4526,東台,1
1111005,110,4532,瑞智,1
1111005,110,4536,拓凱,4
1111005,110,4540,全球傳動,2
1111005,110,4545,銘鈺,1
1111005,110,4551,智伸科,13
1111005,110,4555,氣立,2
1111005,110,4557,永新-KY,1
1111005,110,4560,強信-KY,1
1111005,110,4562,穎漢,1
1111005,110,4564,元翎,1
1111005,110,4566,時碩工業,1
1111005,110,4571,鈞興-KY,3
1111005,110,4572,駐龍,1
1111005,110,4576,大銀微系統,2
1111005,110,4581,光隆精密-KY,1
1111005,110,4583,台灣精銳,0
1111005,110,4720,德淵,2
1111005,110,4722,國精化,1
1111005,110,4737,華廣,1
1111005,110,4739,康普,3
1111005,110,4746,台耀,2
1111005,110,4755,三福化,1
1111005,110,4763,材料-KY,7
1111005,110,4764,雙鍵,1
1111005,110,4766,南寶,8
1111005,110,4770,上品,1
1111005,110,4807,日成-KY,3
1111005,110,4904,遠傳,9
1111005,110,4906,正文,1
1111005,110,4912,聯德控股-KY,2
1111005,110,4915,致伸,15
1111005,110,4916,事欣科,1
1111005,110,4919,新唐,4
1111005,110,4927,泰鼎-KY,4
1111005,110,4930,燦星網,2
1111005,110,4934,太極,1
1111005,110,4935,茂林-KY,3
1111005,110,4938,和碩,11
1111005,110,4942,嘉彰,1
1111005,110,4943,康控-KY,1
1111005,110,4952,凌通,1
1111005,110,4956,光鋐,1
1111005,110,4958,臻鼎-KY,8
1111005,110,4960,誠美材,2
1111005,110,4961,天鈺,12
1111005,110,4967,十銓,1
1111005,110,4968,立積,4
1111005,110,4976,佳凌,1
1111005,110,4977,眾達-KY,1
1111005,110,4989,榮科,1
1111005,110,4994,傳奇,2
1111005,110,4999,鑫禾,1
1111005,110,5007,三星,1
1111005,110,5203,訊連,4
1111005,110,5215,科嘉-KY,1
1111005,110,5222,全訊,2
1111005,110,5225,東科-KY,1
1111005,110,5234,達興材料,1
1111005,110,5243,乙盛-KY,1
1111005,110,5244,弘凱,0
1111005,110,5258,虹堡,2
1111005,110,5269,祥碩,1
1111005,110,5283,禾聯碩,1
1111005,110,5284,jpp-KY,1
1111005,110,5285,界霖,2
1111005,110,5288,豐祥-KY,5
1111005,110,5306,桂盟,114
1111005,110,5388,中磊,2
1111005,110,5434,崇越,2
1111005,110,5469,瀚宇博,1
1111005,110,5471,松翰,7
1111005,110,5484,慧友,1
1111005,110,5515,建國,2
1111005,110,5519,隆大,1
1111005,110,5521,工信,1
1111005,110,5522,遠雄,4
1111005,110,5525,順天,1
1111005,110,5531,鄉林,1
1111005,110,5533,皇鼎,1
1111005,110,5534,長虹,1
1111005,110,5538,東明-KY,1
1111005,110,5546,永固-KY,3
1111005,110,5607,遠雄港,1
1111005,110,5608,四維航,2
1111005,110,5706,鳳凰,2
1111005,110,5871,中租-KY,15
1111005,110,5876,上海商銀,1
1111005,110,5880,合庫金,4
1111005,110,5906,台南-KY,1
1111005,110,5907,大洋-KY,1
1111005,110,6005,群益證,4
1111005,110,6024,群益期,1
1111005,110,6108,競國,1
1111005,110,6112,邁達特,4
1111005,110,6115,鎰勝,1
1111005,110,6116,彩晶,2
1111005,110,6117,迎廣,1
1111005,110,6120,達運,1
1111005,110,6128,上福,1
1111005,110,6133,金橋,1
1111005,110,6136,富爾特,1
1111005,110,6139,亞翔,1
1111005,110,6141,柏承,1
1111005,110,6142,友勁,1
1111005,110,6152,百一,1
1111005,110,6153,嘉聯益,2
1111005,110,6155,鈞寶,1
1111005,110,6164,華興,1
1111005,110,6165,浪凡,1
1111005,110,6166,凌華,2
1111005,110,6168,宏齊,1
1111005,110,6176,瑞儀,4
1111005,110,6177,達麗,1
1111005,110,6183,關貿,1
1111005,110,6184,大豐電,1
1111005,110,6189,豐藝,1
1111005,110,6191,精成科,1
1111005,110,6192,巨路,2
1111005,110,6196,帆宣,2
1111005,110,6197,佳必琪,1
1111005,110,6201,亞弘電,1
1111005,110,6202,盛群,4
1111005,110,6205,詮欣,2
1111005,110,6206,飛捷,2
1111005,110,6209,今國光,1
1111005,110,6213,聯茂,21
1111005,110,6214,精誠,4
1111005,110,6215,和椿,1
1111005,110,6216,居易,1
1111005,110,6224,聚鼎,2
1111005,110,6225,天瀚,1
1111005,110,6226,光鼎,1
1111005,110,6230,尼得科超眾,1
1111005,110,6235,華孚,1
1111005,110,6239,力成,4
1111005,110,6243,迅杰,5
1111005,110,6257,矽格,1
1111005,110,6269,台郡,8
1111005,110,6271,同欣電,4
1111005,110,6277,宏正,6
1111005,110,6278,台表科,1
1111005,110,6281,全國電,2
1111005,110,6282,康舒,2
1111005,110,6283,淳安,1
1111005,110,6285,啟碁,13
1111005,110,6288,聯嘉,3
1111005,110,6405,悅城,1
1111005,110,6409,旭隼,12
1111005,110,6412,群電,13
1111005,110,6414,樺漢,5
1111005,110,6415,矽力*-KY,15
1111005,110,6416,瑞祺電通,1
1111005,110,6431,光麗-KY,1
1111005,110,6438,迅得,2
1111005,110,6442,光聖,2
1111005,110,6443,元晶,1
1111005,110,6449,鈺邦,1
1111005,110,6451,訊芯-KY,1
1111005,110,6456,GIS-KY,2
1111005,110,6464,台數科,1
1111005,110,6477,安集,1
1111005,110,6491,晶碩,4
1111005,110,6504,南六,1
1111005,110,6505,台塑化,4
1111005,110,6515,穎崴,2
1111005,110,6525,捷敏-KY,1
1111005,110,6531,愛普*,4
1111005,110,6533,晶心科,2
1111005,110,6541,泰福-KY,1
1111005,110,6550,北極星藥業-KY,0
1111005,110,6552,易華電,1
1111005,110,6558,興能高,1
1111005,110,6573,虹揚-KY,2
1111005,110,6579,研揚,2
1111005,110,6581,鋼聯,1
1111005,110,6582,申豐,1
1111005,110,6585,鼎基,0
1111005,110,6591,動力-KY,2
1111005,110,6592,和潤企業,4
1111005,110,6598,ABC-KY,3
1111005,110,6605,帝寶,1
1111005,110,6625,必應,1
1111005,110,6641,基士德-KY,2
1111005,110,6655,科定,1
1111005,110,6666,羅麗芬-KY,1
1111005,110,6668,中揚光,1
1111005,110,6669,緯穎,2
1111005,110,6670,復盛應用,4
1111005,110,6671,三能-KY,2
1111005,110,6672,騰輝電子-KY,4
1111005,110,6674,鋐寶科技,1
1111005,110,6691,洋基工程,1
1111005,110,6698,旭暉應材,1
1111005,110,6706,惠特,2
1111005,110,6715,嘉基,1
1111005,110,6719,力智,2
1111005,110,6743,安普新,1
1111005,110,6754,匯僑設計,1
1111005,110,6756,威鋒電子,2
1111005,110,6768,志強-KY,4
1111005,110,6770,力積電,10
1111005,110,6776,展碁國際,5
1111005,110,6781,AES-KY,1
1111005,110,6789,采鈺,0
1111005,110,6790,永豐實,3
1111005,110,6792,詠業,2
1111005,110,6796,晉弘,2
1111005,110,6799,來頡,0
1111005,110,6806,森崴能源,1
1111005,110,6807,峰源-KY,0
1111005,110,8011,台通,1
1111005,110,8016,矽創,9
1111005,110,8021,尖點,4
1111005,110,8028,昇陽半導體,3
1111005,110,8033,雷虎,1
1111005,110,8039,台虹,1
1111005,110,8046,南電,5
1111005,110,8070,長華*,1
1111005,110,8072,陞泰,1
1111005,110,8081,致新,4
1111005,110,8101,華冠,1
1111005,110,8103,瀚荃,1
1111005,110,8104,錸寶,2
1111005,110,8105,凌巨,2
1111005,110,8110,華東,1
1111005,110,8112,至上,2
1111005,110,8114,振樺電,4
1111005,110,8131,福懋科,2
1111005,110,8150,南茂,4
1111005,110,8163,達方,3
1111005,110,8201,無敵,1
1111005,110,8210,勤誠,7
1111005,110,8213,志超,1
1111005,110,8215,明基材,4
1111005,110,8222,寶一,1
1111005,110,8249,菱光,1
1111005,110,8261,富鼎,1
1111005,110,8271,宇瞻,2
1111005,110,8341,日友,1
1111005,110,8367,建新國際,1
1111005,110,8374,羅昇,1
1111005,110,8404,百和興業-KY,1
1111005,110,8411,福貞-KY,3
1111005,110,8422,可寧衛,4
1111005,110,8429,金麗-KY,1
1111005,110,8438,昶昕,0
1111005,110,8442,威宏-KY,1
1111005,110,8443,阿瘦,1
1111005,110,8454,富邦媒,102
1111005,110,8462,柏文,2
1111005,110,8463,潤泰材,1
1111005,110,8464,億豐,10
1111005,110,8466,美吉吉-KY,3
1111005,110,8467,波力-KY,1
1111005,110,8473,山林水,1
1111005,110,8478,東哥遊艇,1
1111005,110,8480,泰昇-KY,1
1111005,110,8481,政伸,2
1111005,110,8482,商億-KY,4
1111005,110,8488,吉源-KY,1
1111005,110,8499,鼎炫-KY,1
1111005,110,8926,台汽電,4
1111005,110,8940,新天地,1
1111005,110,8996,高力,1
1111005,110,9802,鈺齊-KY,7
1111005,110,9902,台火,1
1111005,110,9904,寶成,4
1111005,110,9905,大華,1
1111005,110,9906,欣巴巴,3
1111005,110,9907,統一實,2
1111005,110,9908,大台北,1
1111005,110,9910,豐泰,5
1111005,110,9911,櫻花,2
1111005,110,9912,偉聯,1
1111005,110,9914,美利達,3
1111005,110,9917,中保科,4
1111005,110,9918,欣天然,2
1111005,110,9919,康那香,2
1111005,110,9921,巨大,21
1111005,110,9924,福興,2
1111005,110,9925,新保,1
1111005,110,9926,新海,1
1111005,110,9927,泰銘,1
1111005,110,9928,中視,1
1111005,110,9929,秋雨,1
1111005,110,9930,中聯資源,1
1111005,110,9931,欣高,1
1111005,110,9933,中鼎,4
1111005,110,9934,成霖,2
1111005,110,9935,慶豐富,1
1111005,110,9937,全國,1
1111005,110,9938,百和,4
1111005,110,9939,宏全,4
1111005,110,9940,信義,4
1111005,110,9941,裕融,4
1111005,110,9942,茂順,2
1111005,110,9943,好樂迪,1
1111005,110,9944,新麗,1
1111005,110,9945,潤泰新,1
1111005,110,9946,三發地產,1
1111005,110,9955,佳龍,1
1111005,110,9958,世紀鋼,2
